Step;Run;PV_alone_cnt;PV_alone_chg;PV_com_cnt;PV_com_chg;Idea_cnt;Idea_chg;Seed
30;6;9;[0, 4, 9, 14, 16, 17, 18, 19];;;9;[0, 4, 9, 14, 16, 17, 18, 19]
42;6;21;[1, 2, 5, 6, 7, 8, 10, 11, 12, 13, 15, 20];;;21;[1, 2, 5, 6, 7, 8, 10, 11, 12, 13, 15, 20]
56;6;23;[3, 22];;;23;[3, 22]
0;6;;;;;;;123456789
0;7;0;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22];0.0;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22];0;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]
18;7;1;[6];;;1;[6]
22;7;2;[9];;;2;[9]
30;7;11;[2, 3, 4, 7, 8, 11, 13, 20, 22];;;11;[2, 3, 4, 7, 8, 11, 13, 20, 22]
36;7;22;[1, 5, 10, 12, 14, 15, 16, 17, 18, 19, 21];;;22;[1, 5, 10, 12, 14, 15, 16, 17, 18, 19, 21]
48;7;23;[0];;;23;[0]
0;7;;;;;;;123456789
